data_ocorrencia;nome_cidade;latitude_ocorrencia;longitude_ocorrencia;qtd_morto_civil_ocorrencia;qtd_morto_agen_segur_ocorrencia
09/01/2018;Rio de Janeiro;-22.8574962616;-43.2430152893;0;0
19/01/2018;Rio de Janeiro;-22.9353773;-43.194631;0;0
19/01/2018;Belford Roxo;-22.7486004;-43.4106276;0;0
19/01/2018;Nova Iguaçu;-22.7201738;-43.5246361;0;0
22/01/2018;São Gonçalo;-22.7921669;-42.9997977;0;0
19/01/2018;Rio de Janeiro;-22.9252336;-43.2053404;0;0
01/01/2018;Belford Roxo;-22.749786377;-43.4013519287;0;0
01/01/2018;Nova Iguaçu;-22.7561321259;-43.4607429504;0;0
01/01/2018;Rio de Janeiro;-22.8604011536;-43.4884109497;0;0
01/01/2018;Rio de Janeiro;-22.9879837036;-43.2479820251;0;0
01/01/2018;Rio de Janeiro;-22.9879837036;-43.2479820251;0;0
01/01/2018;Rio de Janeiro;-22.9383335114;-43.2594451904;0;0
01/01/2018;São João de Meriti;-22.7880058289;-43.3837585449;0;0
01/01/2018;Rio de Janeiro;-22.8875579834;-43.2581939697;0;0
01/01/2018;Rio de Janeiro;-22.8945436;-43.2615025;0;0
01/01/2018;Rio de Janeiro;-22.9879837036;-43.2479820251;0;0
01/01/2018;Rio de Janeiro;-22.8401088715;-43.378074646;0;0
01/01/2018;Rio de Janeiro;-22.9347229004;-43.2047233582;0;0
01/01/2018;Rio de Janeiro;-22.9879837036;-43.2479820251;0;0
01/01/2018;Mesquita;-22.776424408;-43.4391937256;0;0
01/01/2018;Rio de Janeiro;-22.9393978119;-43.188167572;0;0
01/01/2018;Rio de Janeiro;-22.8401088715;-43.378074646;0;0
01/01/2018;Nova Iguaçu;-22.6992111206;-43.4433059692;0;0
01/01/2018;Queimados;-22.7106685638;-43.5522270203;0;0
01/01/2018;Nova Iguaçu;-22.7201728821;-43.5246353149;0;0
01/01/2018;Rio de Janeiro;-22.8094558716;-43.3089523315;0;0
01/01/2018;Rio de Janeiro;-22.928976059;-43.2342033386;0;0
01/01/2018;Rio de Janeiro;-22.942609787;-43.3336296082;0;0
02/01/2018;Rio de Janeiro;-22.8830375671;-43.2457504272;0;0
02/01/2018;Niterói;-22.9057044983;-43.0692634583;0;0
02/01/2018;Rio de Janeiro;-22.8501548767;-43.3662834167;0;0
02/01/2018;Rio de Janeiro;-22.9202632904;-43.6320037842;0;0
02/01/2018;Belford Roxo;-22.7355384827;-43.381855011;0;0
02/01/2018;Rio de Janeiro;-22.9481697083;-43.3626708984;0;0
02/01/2018;Rio de Janeiro;-22.8255310059;-43.3444595337;0;0
01/01/2018;São Gonçalo;-22.8602371216;-43.0362663269;0;0
02/01/2018;Rio de Janeiro;-22.8725337982;-43.3363647461;0;0
02/01/2018;Rio de Janeiro;-22.8875579834;-43.2581939697;0;0
02/01/2018;São Gonçalo;-22.8297595978;-42.9833145142;1;0
02/01/2018;Rio de Janeiro;-22.7909832001;-43.1809234619;0;0
01/01/2018;Rio de Janeiro;-22.8700675964;-43.3384552002;0;0
02/01/2018;Rio de Janeiro;-22.8666191101;-43.4704780579;0;0
02/01/2018;Rio de Janeiro;-22.8830375671;-43.2457504272;0;0
02/01/2018;Duque de Caxias;-22.6461391449;-43.2519645691;0;0
02/01/2018;Rio de Janeiro;-22.8593330383;-43.2754745483;0;0
02/01/2018;Rio de Janeiro;-22.8534221649;-43.469379425;0;0
01/01/2018;São Gonçalo;-22.8568077087;-43.0255813599;1;0
02/01/2018;Rio de Janeiro;-22.9610309601;-43.1670799255;0;0
03/01/2018;São Gonçalo;-22.8079872131;-43.0382270813;0;1
03/01/2018;Rio de Janeiro;-22.9879837036;-43.2479820251;3;0
03/01/2018;Rio de Janeiro;-22.9879837036;-43.2479820251;0;0
03/01/2018;Rio de Janeiro;-22.8428936005;-43.3355712891;0;0
01/01/2018;Rio de Janeiro;-22.9371109009;-43.177532196;0;0
03/01/2018;Rio de Janeiro;-22.8969154358;-43.2168502808;1;0
03/01/2018;Rio de Janeiro;-22.9128704071;-43.2845535278;0;0
03/01/2018;São Gonçalo;-22.8154468536;-42.9669189453;2;0
03/01/2018;Rio de Janeiro;-22.8267860413;-43.3400344849;0;0
03/01/2018;Rio de Janeiro;-22.8875579834;-43.2581939697;0;0
03/01/2018;Rio de Janeiro;-22.9347229004;-43.2047233582;0;0
03/01/2018;Nilópolis;-22.8098163605;-43.4194107056;0;0
25/01/2018;Rio de Janeiro;-22.8226838;-43.2734614;0;0
03/01/2018;Duque de Caxias;-22.7910881042;-43.3084526062;0;0
03/01/2018;Rio de Janeiro;-22.9187984467;-43.1976737976;0;0
03/01/2018;Rio de Janeiro;-22.8516597748;-43.2883796692;0;0
01/01/2018;Rio de Janeiro;-22.9198760986;-43.240196228;0;0
03/01/2018;Niterói;-22.8670139313;-43.095790863;0;0
03/01/2018;Japeri;-22.6439971924;-43.6606445312;0;0
03/01/2018;Rio de Janeiro;-22.8742256165;-43.4685440063;0;0
03/01/2018;Rio de Janeiro;-22.9052505493;-43.2340126038;0;0
03/01/2018;Rio de Janeiro;-22.9099998474;-43.2574996948;0;0
03/01/2018;Rio de Janeiro;-22.9170475006;-43.6834945679;0;0
04/01/2018;Rio de Janeiro;-22.9252338409;-43.2053413391;0;0
04/01/2018;Rio de Janeiro;-22.8593330383;-43.2754745483;0;0
04/01/2018;Rio de Janeiro;-23.0003700256;-43.3658943176;0;0
04/01/2018;Rio de Janeiro;-22.9174213409;-43.2049789429;1;0
03/01/2018;Queimados;-22.7276973724;-43.5641021729;0;1
04/01/2018;Rio de Janeiro;-22.9099998474;-43.2574996948;0;0
04/01/2018;Rio de Janeiro;-22.8916397095;-43.3107376099;0;0
06/01/2018;São Gonçalo;-22.8329906464;-43.0418930054;0;0
06/01/2018;Rio de Janeiro;-22.9174213409;-43.2049789429;0;0
06/01/2018;Rio de Janeiro;-22.9198665619;-43.1977157593;0;0
06/01/2018;Rio de Janeiro;-22.9252338409;-43.2053413391;0;0
06/01/2018;Rio de Janeiro;-22.9168167114;-43.1860847473;0;0
06/01/2018;Rio de Janeiro;-22.9084472656;-43.2368469238;0;0
06/01/2018;Niterói;-22.8688621521;-43.100440979;0;0
06/01/2018;Rio de Janeiro;-22.8574962616;-43.2430152893;0;0
06/01/2018;Rio de Janeiro;-22.9435462952;-43.3625335693;0;0
06/01/2018;Rio de Janeiro;-22.9383335114;-43.2594451904;0;0
07/01/2018;Rio de Janeiro;-22.8921127319;-43.3238258362;0;0
07/01/2018;Belford Roxo;-22.7061901093;-43.3379364014;1;0
07/01/2018;São Gonçalo;-22.8746471405;-43.021697998;0;0
07/01/2018;Rio de Janeiro;-22.8453350067;-43.3558273315;0;0
07/01/2018;Rio de Janeiro;-22.8393573761;-43.3623657227;0;0
07/01/2018;Rio de Janeiro;-22.9236106873;-43.180557251;0;0
07/01/2018;Rio de Janeiro;-22.8988895416;-43.3219451904;0;0
07/01/2018;Rio de Janeiro;-22.8246498108;-43.3727264404;0;0
07/01/2018;Niterói;-22.8673553467;-43.0995025635;0;0
07/01/2018;Niterói;-22.8670139313;-43.095790863;0;0
07/01/2018;Rio de Janeiro;-22.9603004456;-43.1678123474;0;0
07/01/2018;Rio de Janeiro;-22.8209991455;-43.3066062927;0;0
07/01/2018;Rio de Janeiro;-22.9325733185;-43.2410240173;0;0
07/01/2018;Niterói;-22.8696498871;-43.0983734131;0;0
07/01/2018;Rio de Janeiro;-22.9939022064;-43.2358360291;0;0
08/01/2018;Niterói;-22.9533882141;-43.0781211853;0;0
07/01/2018;Duque de Caxias;-22.7567653656;-43.3173942566;0;0
08/01/2018;São João de Meriti;-22.8086242676;-43.3861694336;0;0
08/01/2018;Rio de Janeiro;-22.8103141785;-43.1845207214;0;0
08/01/2018;Rio de Janeiro;-22.8232460022;-43.3453903198;0;0
08/01/2018;Niterói;-22.8684825897;-43.1077766418;0;0
08/01/2018;Rio de Janeiro;-22.9481697083;-43.3626708984;0;0
08/01/2018;Rio de Janeiro;-22.8255310059;-43.3444595337;0;0
08/01/2018;São João de Meriti;-22.8086242676;-43.3861694336;0;0
08/01/2018;São João de Meriti;-22.7722969055;-43.3632545471;0;0
08/01/2018;São João de Meriti;-22.7909679413;-43.3698043823;0;0
08/01/2018;São João de Meriti;-22.7722969055;-43.3632545471;0;0
08/01/2018;Niterói;-22.8687934875;-43.0988006592;0;0
09/01/2018;Nova Iguaçu;-22.7511177063;-43.4948348999;0;0
09/01/2018;São Gonçalo;-22.7921676636;-42.999797821;0;0
09/01/2018;Rio de Janeiro;-22.9174213409;-43.2049789429;0;0
09/01/2018;Rio de Janeiro;-22.9069442749;-43.3408317566;0;0
09/01/2018;Rio de Janeiro;-22.9441661835;-43.2408332825;0;0
09/01/2018;Nova Iguaçu;-22.708278656;-43.4295578003;0;0
09/01/2018;Rio de Janeiro;-22.9879837036;-43.2479820251;0;0
09/01/2018;Rio de Janeiro;-22.9481697083;-43.3626708984;0;0
09/01/2018;Rio de Janeiro;-22.8921127319;-43.3238258362;0;0
09/01/2018;Rio de Janeiro;-22.9052505493;-43.2340126038;0;0
06/01/2018;Rio de Janeiro;-22.9121055603;-43.2639312744;1;0
03/01/2018;Itaboraí;-22.7570018768;-42.864315033;1;0
04/01/2018;Niterói;-22.889591217;-43.1191177368;1;0
06/01/2018;Rio de Janeiro;-22.9213523865;-43.1970024109;0;0
09/01/2018;Belford Roxo;-22.7253894806;-43.3391418457;0;0
06/01/2018;Rio de Janeiro;-22.904335022;-43.2782249451;0;0
05/01/2018;São Gonçalo;-22.8268680573;-43.0868110657;1;0
04/01/2018;São Gonçalo;-22.7816410065;-43.0272712708;0;0
04/01/2018;Itaboraí;-22.7960853577;-42.940574646;0;0
07/01/2018;Rio de Janeiro;-22.9879837036;-43.2479820251;0;0
09/01/2018;Niterói;-22.8673553467;-43.0995025635;0;0
09/01/2018;Niterói;-22.8699474335;-43.097114563;0;0
06/01/2018;Rio de Janeiro;-22.8795452118;-43.4561386108;0;0
06/01/2018;Nova Iguaçu;-22.7521514893;-43.4600906372;1;0
06/01/2018;São Gonçalo;-22.827287674;-43.0637664795;1;0
09/01/2018;Niterói;-22.8688697815;-43.1005058289;0;0
09/01/2018;Rio de Janeiro;-22.8766422272;-43.2555007935;0;0
09/01/2018;Rio de Janeiro;-22.9198665619;-43.1977157593;0;0
09/01/2018;Rio de Janeiro;-22.8169612885;-43.311466217;0;0
09/01/2018;Belford Roxo;-22.7299365997;-43.3356246948;0;0
09/01/2018;Nova Iguaçu;-22.7683582306;-43.5075531006;0;0
09/01/2018;Rio de Janeiro;-22.8504371643;-43.2441329956;0;0
09/01/2018;Itaboraí;-22.7344245911;-42.862159729;0;0
09/01/2018;Rio de Janeiro;-22.8234405518;-43.2959365845;0;0
10/01/2018;Rio de Janeiro;-22.8234405518;-43.2959365845;0;0
10/01/2018;Rio de Janeiro;-22.8184509277;-43.3030128479;0;0
10/01/2018;Rio de Janeiro;-22.8255310059;-43.3444595337;0;0
10/01/2018;Rio de Janeiro;-22.9481697083;-43.3626708984;0;0
10/01/2018;São Gonçalo;-22.827381134;-43.0442810059;0;0
09/01/2018;Belford Roxo;-22.7459278107;-43.3466110229;0;0
10/01/2018;Rio de Janeiro;-22.8581104279;-43.4875297546;0;0
06/01/2018;Maricá;-22.9160995483;-42.819190979;1;0
06/01/2018;São Gonçalo;-22.8497333527;-43.0042648315;0;0
08/01/2018;Rio de Janeiro;-23.0250415802;-43.4752883911;1;0
08/01/2018;São Gonçalo;-22.817653656;-42.9785728455;3;0
10/01/2018;Rio de Janeiro;-22.9052505493;-43.2340126038;0;0
08/01/2018;Niterói;-22.8714160919;-43.0941429138;0;0
02/01/2018;Queimados;-22.7104415894;-43.5498809814;1;0
10/01/2018;Rio de Janeiro;-22.8529052734;-43.3928108215;0;0
10/01/2018;Niterói;-22.8659133911;-43.0983963013;0;0
10/01/2018;Rio de Janeiro;-22.8710079193;-43.4430580139;0;0
10/01/2018;Rio de Janeiro;-22.8875579834;-43.2581939697;0;0
10/01/2018;Rio de Janeiro;-22.9481697083;-43.3626708984;0;0
10/01/2018;Niterói;-22.8691272736;-43.0984840393;0;0
10/01/2018;Rio de Janeiro;-22.9107494354;-43.275680542;0;0
11/01/2018;Queimados;-22.7181301117;-43.5472831726;0;0
11/01/2018;Nova Iguaçu;-22.7222976685;-43.5380363464;0;0
10/01/2018;Itaboraí;-22.7446689606;-42.9498977661;0;0
11/01/2018;Rio de Janeiro;-22.9481296539;-43.3614387512;0;0
11/01/2018;Niterói;-22.8696613312;-43.0964813232;0;0
11/01/2018;Queimados;-22.7106685638;-43.5522270203;0;0
11/01/2018;Rio de Janeiro;-22.8255310059;-43.3444595337;0;0
11/01/2018;Nova Iguaçu;-22.7599754333;-43.5053939819;0;0
11/01/2018;Rio de Janeiro;-22.8969192505;-43.3516807556;0;0
11/01/2018;Rio de Janeiro;-22.8331184387;-43.3022270203;0;0
09/01/2018;Nova Iguaçu;-22.7599754333;-43.5053939819;1;0
07/01/2018;Nova Iguaçu;-22.7802200317;-43.5438690186;1;0
06/01/2018;Nova Iguaçu;-22.7537593842;-43.4659004211;1;0
11/01/2018;Rio de Janeiro;-22.890039444;-43.6121368408;0;1
11/01/2018;São João de Meriti;-22.8007392883;-43.3532066345;2;0
11/01/2018;Belford Roxo;-22.7485408783;-43.3521614075;0;0
11/01/2018;Belford Roxo;-22.7527580261;-43.3632087708;0;0
11/01/2018;Nova Iguaçu;-22.775604248;-43.5294456482;0;0
11/01/2018;Rio de Janeiro;-22.8814411163;-43.2264022827;0;0
11/01/2018;Rio de Janeiro;-22.9256896973;-43.2096138;0;0
11/01/2018;Rio de Janeiro;-22.916557312;-43.3780174255;0;0
11/01/2018;Niterói;-22.8696498871;-43.0983734131;0;0
11/01/2018;Rio de Janeiro;-22.8742256165;-43.4685440063;0;0
11/01/2018;Belford Roxo;-22.7481746674;-43.3709945679;0;0
12/01/2018;Duque de Caxias;-22.6401138306;-43.212638855;0;0
12/01/2018;Rio de Janeiro;-22.8234405518;-43.2959365845;0;0
12/01/2018;Rio de Janeiro;-22.9879837036;-43.2479820251;0;0
12/01/2018;Rio de Janeiro;-22.9811115265;-43.1974983215;0;0
12/01/2018;Rio de Janeiro;-22.9193706512;-43.5547027588;0;0
12/01/2018;Rio de Janeiro;-22.9174213409;-43.2049789429;0;0
12/01/2018;Rio de Janeiro;-22.8814029694;-43.2934761047;0;0
12/01/2018;Rio de Janeiro;-22.9879837036;-43.2479820251;0;0
12/01/2018;Rio de Janeiro;-22.8875579834;-43.2581939697;0;0
13/01/2018;Rio de Janeiro;-22.8578491211;-43.4583091736;0;0
13/01/2018;Nova Iguaçu;-22.7586975098;-43.4580955505;0;0
13/01/2018;Rio de Janeiro;-22.8863658905;-43.2515449524;0;0
13/01/2018;Rio de Janeiro;-22.8725337982;-43.3363647461;0;0
13/01/2018;Niterói;-22.8882102966;-43.0644073486;0;0
13/01/2018;Rio de Janeiro;-22.834041;-43.3795537;1;0
13/01/2018;Niterói;-22.8673553467;-43.0995025635;0;0
13/01/2018;São Gonçalo;-22.7765235901;-42.9664802551;0;0
13/01/2018;São João de Meriti;-22.7782497406;-43.3474273682;0;0
13/01/2018;Rio de Janeiro;-22.899274826;-43.4258346558;0;0
13/01/2018;Maricá;-22.9255962372;-42.8206367493;0;0
14/01/2018;Rio de Janeiro;-22.8333339691;-43.36277771;0;0
14/01/2018;Rio de Janeiro;-22.8476276398;-43.3726081848;0;0
14/01/2018;Mesquita;-22.8065814972;-43.4379882812;0;0
13/01/2018;Duque de Caxias;-22.6937789917;-43.2279663086;0;0
14/01/2018;Rio de Janeiro;-22.8356208801;-43.3639945984;0;0
14/01/2018;Rio de Janeiro;-22.8875579834;-43.2581939697;0;0
14/01/2018;Rio de Janeiro;-22.8875579834;-43.2581939697;1;0
04/01/2018;São Gonçalo;-22.8092422485;-43.052696228;0;0
05/01/2018;São Gonçalo;-22.8238830566;-43.0735549927;1;0
09/01/2018;Nova Iguaçu;-22.7350349426;-43.4560508728;0;0
11/01/2018;Belford Roxo;-22.7333126068;-43.3523979187;0;0
11/01/2018;Niterói;-22.9561309814;-43.0291252136;0;0
11/01/2018;Rio de Janeiro;-22.8440494537;-43.3752250671;0;0
11/01/2018;Rio de Janeiro;-22.9939022064;-43.2358360291;0;0
11/01/2018;São Gonçalo;-22.8837490082;-42.9817085266;1;0
11/01/2018;São Gonçalo;-22.8205795288;-43.0212249756;1;0
11/01/2018;Niterói;-22.8858795166;-43.1086425781;0;0
12/01/2018;Rio de Janeiro;-22.9174213409;-43.2049789429;1;0
12/01/2018;Rio de Janeiro;-22.8742256165;-43.4685440063;0;0
12/01/2018;Rio de Janeiro;-22.9024467468;-43.5664710999;1;0
12/01/2018;Rio de Janeiro;-22.9095096588;-43.2967605591;0;0
12/01/2018;Duque de Caxias;-22.6413402557;-43.2207069397;0;0
12/01/2018;Rio de Janeiro;-22.9842262268;-43.2049674988;0;0
12/01/2018;Duque de Caxias;-22.7900600433;-43.3190422058;0;0
12/01/2018;Rio de Janeiro;-22.8926239014;-43.2397460938;0;1
12/01/2018;Rio de Janeiro;-22.9794216156;-43.2307701111;0;0
12/01/2018;Rio de Janeiro;-22.8882579803;-43.2754096985;0;0
12/01/2018;Nova Iguaçu;-22.770029068;-43.5065422058;1;0
12/01/2018;Rio de Janeiro;-22.8581104279;-43.4875297546;0;0
12/01/2018;Niterói;-22.9061985016;-43.1046409607;0;0
12/01/2018;Belford Roxo;-22.7355384827;-43.381855011;0;0
13/01/2018;Rio de Janeiro;-22.9053688;-43.2344579;4;0
13/01/2018;Rio de Janeiro;-22.8341560364;-43.3796234131;0;0
13/01/2018;Belford Roxo;-22.7474956512;-43.3975028992;0;0
13/01/2018;Rio de Janeiro;-23.0159492493;-43.5171318054;1;0
14/01/2018;Rio de Janeiro;-22.8977794647;-43.2822952271;1;0
12/01/2018;Belford Roxo;-22.7645397186;-43.3996276855;0;0
12/01/2018;Belford Roxo;-22.7645397186;-43.3996276855;0;0
13/01/2018;Rio de Janeiro;-22.9196510315;-43.684387207;0;0
13/01/2018;Niterói;-22.8882102966;-43.0644073486;0;0
13/01/2018;Rio de Janeiro;-22.8763103485;-43.4302940369;0;0
13/01/2018;Nova Iguaçu;-22.7513637543;-43.5244407654;1;0
14/01/2018;Queimados;-22.7080001831;-43.5570907593;2;0
12/01/2018;Belford Roxo;-22.7402706146;-43.3450469971;0;0
14/01/2018;Rio de Janeiro;-22.8830375671;-43.2457504272;0;0
14/01/2018;Niterói;-22.8667430878;-43.0991363525;0;0
15/01/2018;Niterói;-22.9080448151;-43.1009597778;0;0
14/01/2018;Rio de Janeiro;-22.8969192505;-43.3516807556;0;0
15/01/2018;Itaguaí;-22.8755111694;-43.7932357788;0;0
15/01/2018;Itaguaí;-22.8609771729;-43.7904472351;0;0
15/01/2018;Itaguaí;-22.8534259796;-43.776222229;0;0
15/01/2018;Rio de Janeiro;-22.8255310059;-43.3444595337;0;0
15/01/2018;Belford Roxo;-22.723192215;-43.3458938599;0;0
15/01/2018;São Gonçalo;-22.8052711487;-43.0058822632;0;0
15/01/2018;Rio de Janeiro;-22.9444446564;-43.1963882446;0;0
15/01/2018;Rio de Janeiro;-22.9236106873;-43.180557251;0;0
15/01/2018;Rio de Janeiro;-22.9069442749;-43.3408317566;0;0
16/01/2018;Rio de Janeiro;-22.8566741943;-43.2429771423;0;0
14/01/2018;Rio de Janeiro;-22.8817615509;-43.5770835876;0;0
14/01/2018;Rio de Janeiro;-22.8742256165;-43.4685440063;1;0
14/01/2018;São Gonçalo;-22.7789478302;-42.9462547302;2;0
14/01/2018;São Gonçalo;-22.8244953156;-42.9957237244;0;0
13/01/2018;São Gonçalo;-22.8341693878;-43.0929222107;2;0
16/01/2018;Rio de Janeiro;-22.9325733185;-43.2410240173;0;0
16/01/2018;Belford Roxo;-22.7332115173;-43.380607605;0;0
15/01/2018;Rio de Janeiro;-22.8246498108;-43.3727264404;0;0
15/01/2018;Belford Roxo;-22.7645397186;-43.3996276855;0;0
15/01/2018;Rio de Janeiro;-22.9128704071;-43.2845535278;0;0
11/01/2018;Mesquita;-22.7932739258;-43.4175071716;1;0
12/01/2018;Itaboraí;-22.7287101;-42.8281861;1;0
16/01/2018;Rio de Janeiro;-22.9895935059;-43.2464179993;0;0
16/01/2018;Rio de Janeiro;-22.915555954;-43.2902793884;0;0
16/01/2018;Belford Roxo;-22.7332115173;-43.380607605;0;0
14/01/2018;Rio de Janeiro;-23.0033168793;-43.3277626038;2;0
16/01/2018;Rio de Janeiro;-22.9253062;-43.219771;0;0
16/01/2018;Rio de Janeiro;-22.9347229004;-43.2047233582;0;0
16/01/2018;Rio de Janeiro;-22.8314781189;-43.3513793945;1;0
16/01/2018;Rio de Janeiro;-22.8219223022;-43.37525177;0;0
16/01/2018;Rio de Janeiro;-22.9879837036;-43.2479820251;0;0
16/01/2018;Rio de Janeiro;-22.9069442749;-43.3408317566;0;0
16/01/2018;Duque de Caxias;-22.736913681;-43.3161849976;0;0
16/01/2018;Rio de Janeiro;-22.8535556793;-43.2441940308;0;0
14/01/2018;Maricá;-22.9567241669;-42.9489974976;2;0
16/01/2018;São Gonçalo;-22.8280503;-43.0323459;1;1
15/01/2018;Niterói;-22.8812484741;-43.0316352844;0;0
15/01/2018;São Gonçalo;-22.8195953369;-43.0564613342;1;0
16/01/2018;Rio de Janeiro;-22.8792076111;-43.2155532837;0;0
16/01/2018;Duque de Caxias;-22.7710704803;-43.3114089966;0;0
16/01/2018;Rio de Janeiro;-22.9265403748;-43.1948852539;0;0
16/01/2018;Rio de Janeiro;-22.8885555267;-43.4140129089;0;0
16/01/2018;Rio de Janeiro;-22.9252338409;-43.2053413391;0;0
16/01/2018;Rio de Janeiro;-22.8710079193;-43.4430580139;0;0
17/01/2018;Rio de Janeiro;-22.8905639648;-43.3907966614;0;0
17/01/2018;Rio de Janeiro;-22.8923454285;-43.2825698853;0;0
17/01/2018;Rio de Janeiro;-22.8835048676;-43.356086731;0;0
17/01/2018;Rio de Janeiro;-22.9628334045;-43.1699638367;0;0
17/01/2018;Belford Roxo;-22.7481746674;-43.3709945679;0;0
17/01/2018;Queimados;-22.7104415894;-43.5498809814;0;0
17/01/2018;Queimados;-22.7200126648;-43.5426673889;0;0
17/01/2018;São Gonçalo;-22.7921676636;-42.999797821;0;0
17/01/2018;Rio de Janeiro;-22.892326355;-43.2581939697;0;0
17/01/2018;Rio de Janeiro;-22.9024333954;-43.3107032776;0;0
17/01/2018;Rio de Janeiro;-22.9127845764;-43.283454895;0;0
17/01/2018;Mesquita;-22.787776947;-43.4108810425;0;0
17/01/2018;Rio de Janeiro;-22.8877372742;-43.4130935669;0;0
17/01/2018;Rio de Janeiro;-22.8916740417;-43.4201812744;0;0
17/01/2018;Rio de Janeiro;-22.8914833069;-43.420715332;0;0
17/01/2018;Rio de Janeiro;-22.892786026;-43.4187202454;0;0
10/01/2018;São João de Meriti;-22.7846794128;-43.3871269226;1;0
13/01/2018;São João de Meriti;-22.7840137482;-43.3942337036;1;0
18/01/2018;Duque de Caxias;-22.7726898193;-43.3125648499;0;0
17/01/2018;Rio de Janeiro;-22.8780975342;-43.4483184814;0;0
17/01/2018;Rio de Janeiro;-22.9128704071;-43.2845535278;0;0
17/01/2018;Rio de Janeiro;-22.9481697083;-43.3626708984;0;0
18/01/2018;Rio de Janeiro;-22.8234405518;-43.2959365845;0;0
18/01/2018;Rio de Janeiro;-22.9061107635;-43.2391433716;0;0
17/01/2018;Rio de Janeiro;-22.9086743;-43.2869126;0;0
17/01/2018;Nilópolis;-22.8101177216;-43.4097976685;0;0
17/01/2018;Duque de Caxias;-22.7726898193;-43.3125648499;0;0
18/01/2018;Belford Roxo;-22.7573490143;-43.398349762;0;0
18/01/2018;Rio de Janeiro;-22.9166278839;-43.339717865;1;0
15/01/2018;Rio de Janeiro;-22.8477935791;-43.2510681152;0;0
17/01/2018;Rio de Janeiro;-22.8725948334;-43.3135986328;0;0
16/01/2018;Duque de Caxias;-22.7726898193;-43.3125648499;0;0
16/01/2018;Rio de Janeiro;-22.8246498108;-43.3727264404;0;0
16/01/2018;Rio de Janeiro;-22.9879837036;-43.2479820251;0;0
14/01/2018;São Gonçalo;-22.7921676636;-42.999797821;0;0
18/01/2018;Rio de Janeiro;-22.8763103485;-43.4302940369;0;0
18/01/2018;Rio de Janeiro;-22.9002780914;-43.1952781677;0;0
